scenario,variant,energy_j,network_kb,latency_ms,family,level,layer
CLOUD,BASE,6336011.18,459859375.0,4935.338,BASE,BASE,CLOUD
EDGE,BASE,1390000.08,3879882.813,618.475,BASE,BASE,EDGE
FOG,BASE,4292119.235,71800781.25,2458.533,BASE,BASE,FOG
CLOUD,LOAD_HIGH,3600115.2,234318359.375,5051.5,LOAD,HIGH,CLOUD
EDGE,LOAD_HIGH,1353726.36,3933593.75,596.15,LOAD,HIGH,EDGE
FOG,LOAD_HIGH,2885154.458,48026367.188,2684.35,LOAD,HIGH,FOG
CLOUD,LOAD_LOW,1548097.11,30816406.25,4725.4,LOAD,LOW,CLOUD
EDGE,LOAD_LOW,230296.96,491210.938,685.2,LOAD,LOW,EDGE
FOG,LOAD_LOW,620583.355,6068359.375,2555.4,LOAD,LOW,FOG
CLOUD,LOAD_NORMAL,1932039.72,88421875.0,5158.667,LOAD,NORMAL,CLOUD
EDGE,LOAD_NORMAL,513772.5,1458007.813,589.133,LOAD,NORMAL,EDGE
FOG,LOAD_NORMAL,1094100.41,17398437.5,2456.267,LOAD,NORMAL,FOG
CLOUD,MIPS_HIGH,3387370.86,476761718.75,2371.213,MIPS,HIGH,CLOUD
EDGE,MIPS_HIGH,670692.941,3863281.25,655.075,MIPS,HIGH,EDGE
FOG,MIPS_HIGH,2003330.956,70896484.375,1253.35,MIPS,HIGH,FOG
CLOUD,MIPS_LOW,13846874.16,470897460.938,10228.7,MIPS,LOW,CLOUD
EDGE,MIPS_LOW,2587474.2,3897460.938,2418.95,MIPS,LOW,EDGE
FOG,MIPS_LOW,8321649.32,70908203.125,5098.717,MIPS,LOW,FOG
CLOUD,MIPS_MEDIUM,7157989.74,466778320.313,4911.275,MIPS,MEDIUM,CLOUD
EDGE,MIPS_MEDIUM,1404507.305,3860351.563,1366.1,MIPS,MEDIUM,EDGE
FOG,MIPS_MEDIUM,4120405.897,71923828.125,2569.317,MIPS,MEDIUM,FOG
CLOUD,NODES_LARGE,11983748.115,476335937.5,4779.363,NODES,LARGE,CLOUD
EDGE,NODES_LARGE,1367089.92,3832031.25,576.575,NODES,LARGE,EDGE
FOG,NODES_LARGE,7731943.089,70185546.875,2500.433,NODES,LARGE,FOG
CLOUD,NODES_MEDIUM,7869337.42,468686523.438,4811.375,NODES,MEDIUM,CLOUD
EDGE,NODES_MEDIUM,1406093.28,4106445.313,592.325,NODES,MEDIUM,EDGE
FOG,NODES_MEDIUM,5972952.578,70720703.125,2438.767,NODES,MEDIUM,FOG
CLOUD,NODES_SMALL,6471397.14,460078125.0,5193.275,NODES,SMALL,CLOUD
EDGE,NODES_SMALL,1377682.8,3840820.313,598.425,NODES,SMALL,EDGE
FOG,NODES_SMALL,4005488.75,69944335.938,2342.883,NODES,SMALL,FOG
CLOUD,TRAFFIC_HIGH,6768667.92,463183593.75,5029.263,TRAFFIC,HIGH,CLOUD
EDGE,TRAFFIC_HIGH,1354900.3,231794921.875,600.45,TRAFFIC,HIGH,EDGE
FOG,TRAFFIC_HIGH,4279796.16,344268554.688,2527.167,TRAFFIC,HIGH,FOG
CLOUD,TRAFFIC_LOW,6852986.88,15560546.875,5248.188,TRAFFIC,LOW,CLOUD
EDGE,TRAFFIC_LOW,1474186.56,7744140.625,659.7,TRAFFIC,LOW,EDGE
FOG,TRAFFIC_LOW,4500240.255,11604492.188,2643.533,TRAFFIC,LOW,FOG
CLOUD,TRAFFIC_MEDIUM,6260076.39,95258789.063,5136.8,TRAFFIC,MEDIUM,CLOUD
EDGE,TRAFFIC_MEDIUM,1505344.0,46166992.188,669.8,TRAFFIC,MEDIUM,EDGE
FOG,TRAFFIC_MEDIUM,3936955.312,70736328.125,2480.817,TRAFFIC,MEDIUM,FOG
